员工ID,年龄,性别,最高学历,行龄,司龄,近2年绩效平均分,近2年内绩效为B-及以下的次数,近2年内获得A+的次数,近2年内绩效为A及以上的次数,近1年病假天数,近1年事假天数,近2年牵头项目个数,近2年日均工时,组长/骨干标识,重点项目成员标识,敏捷角色（PO/SM）,内部项目支持（担任PM）,外部项目支持（担任PM）,产品经理-业务分析,产品经理-产品设计,近2年行外发表的论文、杂志的数量,近2年获得的部门级以上奖励、荣誉数量,近2年获得的部门级以上的最高荣誉名称,年度部门内分享/培训次数（作为培训者）,年度部门外培训次数（作为培训者）,年度部门外培训次数（作为被培训者）,年度部门内分享/培训次数（作为被培训者）,近2年带教的实习生数量,近2年带教的校招新行员的数量,近2年带教的实习生转正数量,近2年带教的校招新行员转正成绩为A的数量,近3个月查看知识库会议纪要次数,当年资质证书获取情况,数据分析师-数据分析工具运用能力,数据分析师-算法模型开发能力,数据分析师-营销运营能力,数据研发师-SQL开发,数据研发师-数据模型设计,数据研发师-业务理解,应用研发-技术架构设计,应用研发-应用开发能力,AI算法工程师-数学与建模理论基础,AI算法工程师-编程与工程实现,学习能力,创新思维,任务拆解能力,领导力,团队合作,综合评价（A+、A、A-、B、B-）-直属上级,综合评价（A+、A、A-、B、B-）-同级同事,综合评价（A+、A、A-、B、B-）-下级（如有）,特长,兴趣爱好
106,33,女,本科,2.1,7.1,3.71,0,0,1,1,0,5,8.5,0,0,0,0,0,0,0,0,1,技术标兵,0,1,0,2,0,1,0,1,23,否,5,1,3,1,5,5,2,3,4,1,4,1,5,1,4,B,B,,无,无
107,40,女,硕士,3.1,6,4.04,1,0,1,4,1,1,8.2,0,0,0,0,0,0,0,0,0,,3,1,0,1,1,2,2,1,19,否,2,5,5,4,3,2,3,2,4,5,4,2,1,2,5,A+,B,A,编程,无
108,31,男,本科,1.5,2.1,3.44,1,0,5,2,1,1,8.4,0,0,0,0,0,0,1,0,1,创新奖,2,1,4,1,1,1,0,0,15,是,5,4,4,5,4,1,4,2,1,1,2,1,5,1,1,A+,A,A+,无,旅行
109,32,男,本科,4.5,2.9,3.28,0,0,0,3,1,5,7,0,1,0,0,1,0,0,0,0,,2,1,3,3,1,0,0,0,21,否,2,5,2,2,3,2,2,5,3,4,4,5,1,1,3,A-,A,B-,项目管理,阅读
110,30,女,硕士,5.2,7,3.91,0,0,1,5,1,0,6.8,1,1,0,0,0,0,0,0,0,,1,0,3,1,0,0,0,0,18,是,4,4,5,1,1,3,4,5,5,2,5,3,4,2,3,B-,A-,,无,无
111,21,女,本科,0.5,1,2.85,1,0,3,1,0,2,9.7,0,0,0,0,0,0,0,2,2,技术标兵,1,0,0,1,0,1,1,0,15,否,4,4,5,3,1,1,1,2,5,3,3,4,1,5,2,A-,B+,B-,演讲,无
112,30,女,硕士,9.5,3.7,2.63,0,1,0,3,0,1,7.8,0,0,0,0,0,0,0,0,2,技术标兵,3,0,1,1,0,0,1,0,22,否,1,2,4,4,3,1,3,2,2,4,5,5,2,3,5,A-,A-,,无,无
113,31,男,本科,2.9,2.1,3.5,1,0,2,4,0,1,7.8,0,0,0,0,0,0,0,0,1,优秀员工,1,1,3,0,0,1,0,0,27,是,4,2,2,3,4,5,5,3,1,3,4,4,3,5,1,B+,B,,无,无
114,43,女,本科,2.9,7.3,3.31,1,0,1,3,2,0,6.9,0,0,0,0,0,0,0,0,0,,0,0,2,0,0,1,0,0,17,否,3,5,3,3,1,3,2,2,3,1,4,5,4,1,4,A,B-,B,无,无
115,30,女,本科,4.6,6.8,3.78,0,0,1,2,2,0,6.5,1,1,0,0,1,0,0,0,2,优秀员工,1,0,2,1,1,0,0,0,19,否,5,5,4,2,1,5,1,1,4,5,3,1,3,2,2,A-,B,A+,无,旅行
116,32,女,硕士,2.7,4,4.05,0,0,2,6,1,2,7.9,0,0,0,0,0,0,0,0,0,,1,0,1,2,0,0,0,1,23,否,5,3,5,1,5,4,4,3,1,2,4,1,5,2,1,A,A+,B+,无,无
117,30,男,本科,2.8,2.7,3.77,0,0,0,1,3,2,7.7,1,0,0,0,0,0,0,0,0,,1,1,2,1,1,0,0,0,17,是,2,1,5,5,2,2,4,2,1,4,3,3,4,2,1,A,B-,A-,无,阅读
118,25,女,博士,0.7,8.1,4.01,0,1,2,1,1,1,8,0,0,1,0,1,0,0,0,0,,3,0,0,2,1,1,0,0,19,是,4,1,1,2,1,2,1,3,3,2,2,4,2,2,3,A+,B-,A,无,阅读
119,36,女,本科,1.4,2.2,3.66,0,0,0,5,0,3,8.1,0,0,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,1,25,是,1,5,2,4,4,5,2,3,2,3,3,5,3,3,5,B,A-,B,无,旅行
120,34,男,硕士,4,4.3,3.75,1,1,0,1,0,1,10.5,1,0,0,0,0,0,1,0,0,,1,0,0,0,2,2,1,0,16,是,1,2,1,3,4,2,5,4,2,3,3,2,1,4,4,B,B,B,无,摄影
121,34,女,本科,3.5,3.4,3.44,0,1,0,3,0,0,7.7,0,0,0,0,0,0,0,0,0,,1,0,1,1,0,1,0,0,20,否,1,3,3,4,5,2,2,5,2,5,5,2,1,1,5,B-,B,,写作,无
122,26,女,硕士,5.6,6.4,3.73,0,0,2,0,0,1,9.6,0,0,0,0,0,0,0,0,0,,0,0,1,3,0,1,0,0,15,否,3,1,4,2,4,4,3,3,4,3,4,3,1,3,3,B+,B+,A,写作,音乐
123,38,男,本科,4.6,1.1,3.58,0,0,1,9,2,1,9.6,0,1,0,0,0,0,0,0,1,技术标兵,2,0,1,2,1,1,1,1,19,否,4,5,5,2,5,3,2,3,4,5,2,4,4,5,4,B+,A+,A+,无,无
124,23,女,本科,4.7,4.6,3.66,0,0,2,2,0,2,8.8,1,0,0,0,0,0,0,0,0,,0,0,0,1,0,2,0,0,24,否,1,2,2,5,1,1,3,4,3,4,1,2,2,4,4,B,A-,B,无,摄影
125,33,男,本科,1.9,5.2,3.42,0,1,2,4,0,3,7.8,1,0,0,0,0,0,1,1,0,,0,0,0,2,0,0,1,0,21,否,3,2,5,3,1,5,4,2,2,5,3,3,2,4,2,B-,A,B-,无,阅读
126,41,男,本科,2,6.9,3.9,0,1,0,0,0,4,6.6,0,1,0,0,0,0,0,0,0,,2,0,2,0,0,2,0,1,24,否,5,2,1,2,1,5,3,3,3,3,1,3,2,2,4,B,A-,A+,编程,阅读
127,26,女,本科,4.7,2.6,3.14,0,0,1,0,0,2,8.5,1,0,0,0,0,0,0,0,0,,0,0,3,1,0,1,0,0,23,否,2,4,1,4,1,4,5,4,2,1,4,4,3,3,1,B-,B-,A,项目管理,旅行
128,28,女,本科,2.1,2.4,3.49,0,0,4,1,1,0,9,0,1,0,0,0,0,0,0,0,,2,0,1,0,1,2,1,0,17,否,4,2,4,5,2,4,1,1,1,5,3,2,4,5,5,B-,A-,,无,无
129,31,女,硕士,3.5,2.2,4.16,1,0,1,0,1,1,9.7,0,0,0,0,0,0,0,0,1,优秀员工,0,1,2,1,1,1,0,1,20,否,4,5,2,4,2,1,3,4,5,2,1,2,1,2,5,B-,B+,A+,无,摄影
130,28,女,本科,2.9,2.3,3.03,0,1,2,3,4,2,7.1,0,0,0,0,0,0,0,0,2,技术标兵,0,0,0,1,0,0,0,0,16,是,5,3,2,3,1,3,2,5,5,1,5,2,3,2,2,B-,A-,,演讲,阅读
131,23,男,硕士,1.4,7.3,2.42,1,0,1,1,0,0,7.8,0,0,0,0,0,0,0,0,0,,2,0,0,2,0,0,1,0,24,是,4,5,4,5,4,5,3,5,2,5,1,1,2,1,4,A+,B+,B-,无,无
132,31,女,硕士,2.6,4.7,3.68,1,0,2,3,1,0,7.1,0,0,0,0,0,0,0,0,1,创新奖,1,0,2,0,0,1,0,0,22,否,4,2,1,5,5,4,4,2,3,2,5,2,1,4,3,A+,B-,A-,数据分析,无
133,25,男,本科,1,1.1,3.37,0,0,0,0,1,4,7.4,0,0,0,0,0,0,0,0,0,,1,0,1,2,2,0,1,0,16,否,4,3,1,5,3,5,3,2,4,1,2,5,4,5,1,B,B+,,无,无
134,33,女,硕士,1.6,4.1,4.01,0,0,1,3,0,2,8.7,0,1,0,0,0,0,0,0,1,优秀员工,2,0,1,0,0,1,2,0,16,否,4,1,1,1,5,2,5,5,2,5,4,1,5,4,2,B-,B,,无,旅行
135,26,女,硕士,6.3,1.6,3.43,0,0,0,3,1,3,7.3,0,0,0,0,0,0,0,0,0,,0,0,1,2,0,0,0,0,21,否,3,1,5,5,3,5,3,5,2,4,1,1,2,3,4,A-,A,A,无,摄影
136,38,女,本科,1.3,3.3,3.2,1,1,1,3,1,2,7.2,0,0,0,0,0,0,0,0,0,,0,1,2,1,3,0,2,0,20,是,3,5,3,4,3,3,5,3,4,2,3,1,2,1,3,B-,B-,B-,无,阅读
137,27,男,本科,2.3,3.3,3.46,1,0,3,3,1,0,8.8,0,0,0,0,0,1,0,0,0,,0,2,2,1,0,0,1,1,17,否,2,3,1,4,1,3,2,5,2,4,4,1,2,2,4,A-,B+,A,无,音乐
138,29,女,本科,4.5,3.4,4.05,0,0,1,5,0,1,8.5,0,0,0,0,0,0,0,0,0,,1,0,1,1,0,1,0,0,8,是,4,5,3,3,3,5,4,2,1,3,1,3,2,1,2,A+,A+,B-,无,摄影
139,35,女,本科,3.6,2,3.79,0,0,0,0,1,1,8.4,0,0,0,0,0,0,0,0,0,,1,0,3,1,0,2,0,1,23,否,5,3,3,2,1,2,1,5,4,5,3,5,1,2,3,B-,B-,B-,无,摄影
140,24,女,本科,1.6,4.1,2.28,0,1,0,2,0,3,7.3,0,0,0,0,1,0,0,0,3,技术标兵,1,0,1,0,0,0,1,0,24,否,1,3,2,2,2,3,2,2,1,5,3,4,4,1,3,A,A+,B,无,无
141,32,女,本科,2.7,4.8,3.59,0,0,0,2,0,1,9.3,0,1,0,1,0,1,0,0,2,技术标兵,0,0,1,1,0,0,0,0,19,是,2,5,4,1,4,4,2,1,5,2,3,2,3,2,3,B,A,B,无,无
142,37,男,硕士,1.9,1.5,3.62,1,0,1,4,0,0,8,1,1,0,0,1,0,0,1,0,,0,0,0,2,0,1,1,0,23,否,1,3,5,5,3,5,1,5,4,5,3,1,1,4,3,B-,B+,B,无,无
143,22,女,硕士,3.2,3.5,3.49,0,0,2,0,0,1,10.4,0,0,0,0,0,1,0,0,0,,0,0,1,0,2,0,0,0,14,否,1,2,3,1,4,2,3,2,4,3,1,4,4,4,4,B+,B-,A-,无,无
144,31,男,本科,4.4,3.5,3.19,3,0,1,3,0,0,8.2,0,0,0,1,0,0,0,0,0,,2,0,0,1,0,1,0,0,18,是,4,3,5,3,1,4,3,4,3,5,2,3,3,4,3,A-,B-,A-,无,无
145,32,男,本科,1.4,4.4,4.1,1,2,4,1,0,1,6,1,1,0,0,0,0,0,0,0,,1,0,3,1,0,0,0,0,22,否,5,3,2,3,3,5,3,3,3,1,5,4,2,4,4,B-,A,B-,无,无
146,34,男,本科,10.2,3.4,4.12,1,0,2,1,0,1,6,0,1,1,0,1,0,0,1,1,优秀员工,0,0,1,1,1,2,0,0,22,否,1,5,1,2,5,2,4,2,4,4,5,1,4,1,3,A,B,B+,无,无
147,24,男,本科,2.3,0.9,2.4,0,0,1,6,1,2,8.6,1,0,0,0,0,0,0,1,0,,0,0,0,0,1,1,1,0,23,否,1,1,3,3,2,4,2,5,5,3,5,5,2,2,3,A-,A+,A,项目管理,无
148,24,男,本科,2,5.2,3.1,1,0,1,2,0,1,9.3,0,1,0,0,0,0,0,0,0,,1,0,1,0,0,1,1,0,20,是,2,4,4,5,2,3,5,5,2,3,2,4,4,4,2,A,B-,B,无,摄影
149,33,男,硕士,5.8,4.8,3.43,3,0,1,1,0,1,7.2,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,4,0,0,26,是,5,3,2,4,3,5,1,1,3,4,3,1,5,1,4,B,A-,A,无,运动
150,32,女,本科,2.3,2.5,3.97,1,1,1,2,3,1,10.1,0,1,0,0,0,1,0,1,0,,0,0,0,2,0,0,0,0,19,否,5,4,5,3,2,5,2,4,5,4,3,1,2,2,4,B,A+,,无,无
151,32,男,硕士,5.2,2.7,3.52,0,1,0,2,1,1,9.7,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,21,是,1,3,1,1,5,3,3,2,5,3,4,2,2,1,5,B,B+,B-,编程,无
152,32,男,博士,3.7,2.3,3.16,1,0,1,2,1,1,8.2,0,0,0,0,0,0,0,1,1,优秀员工,1,0,0,3,1,1,0,0,27,否,5,5,5,5,4,1,1,4,3,4,5,2,2,4,2,A+,A,A+,无,旅行
153,27,男,本科,2.9,5.1,3.85,0,0,2,3,0,1,8.5,0,1,0,1,0,0,0,0,1,创新奖,0,0,1,3,0,4,0,0,23,是,2,5,4,3,5,4,5,1,2,2,5,5,1,3,4,A,A+,B-,无,无
154,32,女,硕士,2.6,2.9,3.39,1,0,1,2,0,1,8.9,0,0,1,1,0,0,0,0,0,,1,0,0,1,0,0,0,0,30,否,2,3,3,3,2,3,2,3,3,4,3,2,3,1,2,B-,A-,A-,无,摄影
155,32,女,本科,1.2,2.6,3.44,0,0,3,1,2,0,9.9,1,0,0,0,0,0,0,0,0,,2,1,0,1,1,0,0,1,21,否,2,5,4,5,4,5,2,4,5,1,5,5,2,4,2,B+,A-,B+,数据分析,无
156,27,男,本科,3.2,5.2,3.49,1,1,0,5,0,1,8.7,0,0,0,0,0,0,0,0,1,技术标兵,1,0,2,2,1,0,0,0,18,是,4,5,5,3,5,4,4,1,1,1,3,3,2,5,2,B+,A,A+,数据分析,摄影
157,40,女,本科,2.2,5.6,3.79,3,0,0,2,1,0,8.2,0,1,0,0,0,0,0,0,1,创新奖,1,0,2,2,0,2,0,0,21,是,1,3,5,4,1,4,2,2,3,2,3,3,1,2,1,B,A,A,写作,音乐
158,33,男,硕士,3.3,1.2,3.35,0,0,1,3,0,1,8.7,0,1,0,1,1,1,0,0,2,创新奖,0,0,0,3,0,1,1,1,13,否,5,1,4,2,1,1,2,3,5,4,3,2,1,4,4,B+,A+,A-,无,音乐
159,25,男,硕士,1.3,5,3.84,0,1,1,2,2,0,8.5,0,1,0,0,1,0,1,0,1,创新奖,3,1,1,3,1,0,0,0,23,否,2,3,4,5,4,5,5,5,3,1,1,3,5,5,2,A-,B+,B,数据分析,无
160,34,女,硕士,1.3,0.7,3.46,2,1,0,1,1,2,8.9,1,0,0,0,0,0,0,0,1,优秀员工,1,1,1,2,1,0,1,0,27,是,1,1,4,1,4,2,5,1,5,5,1,4,4,1,1,A,B,A+,无,摄影
161,26,男,硕士,0.7,2.7,2.97,0,1,2,1,1,1,6.4,0,1,0,0,0,0,0,0,0,,0,0,1,3,0,0,0,0,17,否,1,5,1,3,4,1,1,5,2,4,1,4,2,1,1,A,A-,A-,写作,无
162,34,女,硕士,1.6,3.1,3.48,0,0,1,3,0,1,8.3,0,0,0,0,0,0,0,0,1,创新奖,1,1,0,0,1,1,0,1,19,是,4,1,5,2,1,1,3,3,5,2,1,4,4,5,3,A,A,A,无,无
163,36,女,博士,2.5,6,2.99,0,0,2,0,0,0,8.5,0,0,0,0,0,0,0,0,0,,1,0,2,1,0,0,0,0,21,否,5,5,2,1,5,2,5,1,4,4,2,3,1,5,3,A-,B,B-,无,无
164,26,男,硕士,2.2,4.6,3.52,1,1,2,0,0,1,7.9,0,1,0,0,0,0,0,0,1,优秀员工,1,0,1,0,1,0,0,0,23,否,5,1,1,1,4,2,1,1,1,3,4,4,1,2,4,B-,B,A,无,无
165,35,男,硕士,1.7,1.1,3.91,2,0,0,1,0,3,8.8,1,0,0,0,0,0,0,0,0,,2,0,0,1,1,1,1,0,13,是,2,1,1,4,1,1,2,3,5,3,4,5,5,1,3,A+,B,A+,无,无
166,33,女,本科,3.9,3.5,2.96,1,0,0,2,3,1,9.9,0,0,0,0,0,0,0,0,1,优秀员工,0,0,0,1,0,1,0,0,25,否,2,3,1,2,4,4,1,2,3,1,3,1,3,5,4,A-,B+,A+,写作,无
167,35,男,本科,4.7,7,3.68,0,1,1,2,1,0,8.1,0,0,1,0,0,0,1,0,0,,1,0,1,2,0,1,1,0,28,是,1,1,2,5,4,3,1,1,3,3,5,2,1,3,1,A,A,B-,数据分析,无
168,40,男,硕士,5.4,3.8,3.09,1,1,1,2,0,0,8.7,1,0,0,0,0,0,0,0,1,创新奖,2,0,0,0,1,1,0,0,22,是,5,5,4,2,4,3,1,3,5,2,1,5,2,3,1,A,A-,A+,写作,音乐
169,29,男,本科,4,2.7,3.6,1,0,1,2,1,2,9.6,1,1,0,1,0,0,0,0,1,创新奖,1,0,1,2,2,2,1,0,17,是,5,3,5,2,1,1,1,4,4,1,4,4,5,5,4,A,A,B+,无,无
170,27,女,本科,5.5,6,3.93,0,0,0,2,0,2,8.2,0,0,0,1,0,0,0,0,0,,0,1,1,1,0,1,2,0,14,否,2,1,3,1,5,4,5,5,5,2,4,1,3,2,3,B-,A+,B,无,摄影
171,26,女,硕士,4.7,3.4,2.44,1,0,1,3,0,1,7.1,0,1,1,1,0,1,0,0,0,,2,0,1,2,0,1,0,0,20,否,3,3,3,4,1,2,3,1,2,2,1,2,5,1,3,B+,A-,A-,无,无
172,26,男,本科,2.8,3.9,2.94,0,0,0,2,1,4,8.6,0,0,0,1,0,0,0,0,1,技术标兵,0,0,1,0,0,0,0,0,20,否,1,4,5,4,1,1,1,4,4,3,2,5,1,3,4,A+,A,B-,无,无
173,30,女,本科,1.9,1.3,3.32,0,0,0,1,1,1,6,0,0,0,0,0,0,0,0,0,,1,0,2,0,0,1,0,0,24,是,5,3,2,2,4,5,4,1,5,3,2,2,3,5,5,A-,A-,A,项目管理,阅读
174,32,女,硕士,0.6,3,3.66,1,1,2,2,0,2,6,1,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,24,是,4,4,3,2,3,4,2,2,1,2,4,3,4,5,3,A,A+,A,编程,无
175,32,女,硕士,2.2,8.4,3.42,2,0,0,3,0,1,8.3,0,1,0,0,0,0,0,1,1,创新奖,2,1,2,1,3,1,0,1,19,否,4,4,1,3,3,5,2,3,4,3,2,4,3,4,2,B,B-,B,无,旅行
176,35,女,本科,2.4,3.7,3.48,0,0,0,1,0,1,6,0,0,0,1,0,0,0,0,1,技术标兵,1,0,1,1,1,0,1,0,21,是,3,3,3,1,3,5,2,1,5,3,1,5,2,5,3,A+,A-,A+,无,无
177,31,女,硕士,2.4,1.9,4.52,0,0,2,3,2,5,6.7,0,1,0,0,0,0,0,0,1,创新奖,1,0,2,2,0,1,0,0,13,否,2,5,5,5,1,1,2,3,1,3,4,5,4,2,5,B,B-,A+,演讲,无
178,38,男,硕士,5.6,3.5,2.89,1,0,3,1,2,1,7.6,0,0,0,0,0,0,0,0,1,创新奖,2,0,2,1,1,1,0,0,15,是,2,5,1,5,4,4,2,1,5,4,1,1,4,3,1,A+,B,A,演讲,阅读
179,29,男,本科,0.2,1.6,4.07,0,2,0,0,1,0,7.3,0,0,1,0,0,1,0,0,0,,0,1,0,1,0,0,1,0,19,否,2,5,3,4,3,5,1,2,2,2,2,1,2,4,1,A,B+,B,无,无
180,44,男,本科,4.4,3.3,3.33,0,0,0,3,1,1,7.9,0,0,0,0,1,0,0,0,0,,1,0,3,3,2,2,0,0,22,是,4,2,5,1,2,4,3,2,3,5,1,1,4,3,1,A+,A+,A,无,无
181,34,女,硕士,0.5,2.2,3.77,1,1,0,3,1,0,9.1,0,1,0,0,0,0,1,0,1,创新奖,1,0,0,2,1,0,1,1,20,否,2,4,2,4,2,3,4,4,5,2,2,2,1,3,3,A+,A-,A+,项目管理,摄影
182,26,女,本科,0.3,1.8,4.56,2,0,0,2,1,0,8.2,0,1,0,0,0,0,0,0,0,,1,0,2,1,0,1,0,1,14,是,4,3,5,5,2,5,5,2,4,1,2,4,3,2,1,A,A+,B-,编程,阅读
183,25,男,本科,5.4,2.9,3.84,1,0,2,1,0,0,7.2,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,1,0,18,是,3,5,2,2,5,5,4,3,5,3,1,2,3,5,5,B-,B,A-,无,无
184,33,女,本科,3,4.8,3.69,1,0,2,3,0,1,9.4,0,0,0,0,0,0,1,0,1,创新奖,2,0,1,2,1,2,1,0,28,是,1,5,1,1,4,4,5,2,5,3,2,4,2,2,5,B,B-,A+,编程,运动
185,29,男,本科,5.6,4.1,4.3,1,0,1,5,1,0,6.6,0,0,0,0,0,0,0,0,1,技术标兵,0,0,5,0,0,1,0,0,14,是,5,3,5,1,1,3,5,1,5,5,3,5,1,5,3,B-,B+,B-,无,无
186,34,男,本科,4,0.6,4.06,0,0,1,4,0,1,8.2,0,1,0,0,0,0,0,0,3,技术标兵,4,0,1,2,1,1,1,0,18,是,3,4,4,3,1,5,4,2,5,1,1,2,4,4,2,B,A+,A-,无,无
187,33,男,本科,3.1,3.6,3.1,0,0,0,0,1,1,6.5,0,0,0,1,0,0,0,0,1,创新奖,0,0,1,1,0,0,0,0,21,否,4,3,4,2,4,1,1,3,4,4,3,2,3,2,3,B+,B-,,无,无
188,30,女,本科,2.6,9.1,3.65,0,1,1,2,0,3,8.3,0,1,0,0,0,0,0,0,0,,2,2,3,2,1,2,1,0,25,否,3,2,4,2,5,4,2,1,4,2,1,2,3,2,1,B,B,B+,无,旅行
189,26,女,本科,3.9,1.6,2.64,0,0,1,3,3,1,7.7,0,1,0,0,0,0,0,0,0,,0,0,0,2,1,1,1,0,16,否,5,2,4,4,4,4,1,4,5,4,2,3,3,1,3,B,B,B,无,无
190,23,男,硕士,2.4,4.1,3.23,0,1,0,2,1,1,9.1,0,0,0,0,1,0,1,1,0,,1,0,1,1,0,0,0,0,21,否,1,3,4,1,5,5,2,4,3,1,2,4,3,2,5,A+,B,B-,无,无
191,28,男,本科,2.6,3.8,3.66,0,0,2,4,0,1,8.7,0,1,0,0,1,0,0,0,1,创新奖,1,0,1,2,0,0,0,0,16,否,5,4,2,4,3,3,3,4,5,5,4,4,5,1,3,B+,B-,B+,无,无
192,35,男,硕士,1.9,6.7,3.2,0,0,2,4,0,0,7.4,1,0,0,0,0,0,0,0,1,技术标兵,2,0,1,0,0,1,0,0,19,否,4,5,5,2,3,5,5,1,4,1,4,2,2,5,3,A,A-,A+,数据分析,运动
193,32,男,本科,1.6,4.6,3.64,1,0,0,1,1,1,7.2,0,0,0,0,0,0,0,0,1,优秀员工,1,0,2,2,0,0,1,0,23,否,5,2,1,3,5,2,4,4,2,5,3,3,4,5,2,A,A,,数据分析,无
194,24,女,硕士,2.4,4.1,3.49,0,1,2,4,0,0,7.7,0,0,0,0,0,0,0,0,0,,1,2,0,0,0,0,0,0,21,否,3,2,4,1,4,5,3,2,5,4,2,2,4,5,5,A-,A+,B,无,无
195,31,女,本科,0.6,2.3,3.77,0,1,0,0,3,3,9.9,1,0,0,0,0,0,0,0,1,优秀员工,0,0,0,1,0,0,0,0,20,否,2,4,4,2,3,2,2,1,5,4,4,4,2,1,4,B+,A,B-,无,无
196,32,男,博士,2.2,4,3.29,0,0,0,1,0,1,9.6,0,1,0,0,0,0,0,0,0,,0,0,2,2,0,1,0,0,16,是,3,2,1,3,4,1,1,1,5,1,2,5,1,5,4,A+,B,,演讲,旅行
197,26,男,硕士,0.8,4.1,3.03,1,0,1,2,1,0,7,0,0,0,0,0,0,0,1,0,,0,0,1,4,0,0,1,0,26,是,4,2,1,5,3,4,4,1,5,1,1,3,2,3,5,A-,A,A+,无,无
198,31,女,本科,3.8,2.6,4.24,2,0,0,1,0,1,8.8,0,0,0,0,1,0,0,0,0,,0,0,1,1,0,2,0,0,25,否,1,4,4,2,4,4,5,5,1,3,4,3,3,2,4,A-,B-,B,无,无
199,31,女,硕士,2.3,2.3,3.25,1,0,1,6,2,1,6.3,1,0,0,0,1,0,0,0,1,优秀员工,2,0,2,0,0,2,1,0,18,是,5,3,2,5,4,3,3,3,5,5,3,2,3,1,1,A,B,B,无,无
200,25,男,本科,1.5,1.8,3.83,2,0,0,4,2,5,7.6,0,0,0,0,0,0,0,0,0,,1,1,1,0,1,1,0,0,19,否,1,5,1,4,2,5,5,5,4,3,4,5,2,5,4,B,B,A+,无,无
201,32,男,本科,1.7,1.3,4.22,1,0,0,4,1,1,7.1,0,0,0,1,0,1,0,0,0,,1,0,2,2,1,2,0,1,19,否,4,5,5,5,5,1,2,5,4,2,2,4,2,3,1,A+,B+,A+,无,旅行
202,33,男,本科,4.2,4.7,3.58,1,0,0,2,0,2,9.1,0,0,1,0,0,0,0,0,0,,0,0,0,3,1,1,0,0,20,是,5,2,5,2,1,2,5,5,1,2,5,1,4,2,5,B+,B+,,无,运动
203,36,女,本科,3.1,2.5,3.07,0,1,0,2,1,2,6.7,1,0,0,0,0,1,0,0,0,,0,0,3,1,1,0,0,1,26,是,3,5,2,5,5,3,1,3,5,1,5,4,4,2,4,A-,B-,,数据分析,音乐
204,36,女,本科,4.5,2.1,3.41,0,0,1,2,1,1,8.4,0,1,0,0,0,0,0,0,0,,2,0,0,0,3,0,1,1,21,否,3,3,3,1,4,1,3,5,3,4,2,4,5,5,4,A+,B-,B-,数据分析,音乐
205,24,女,本科,2.5,0.9,4.01,0,1,0,5,1,2,8,0,1,1,0,0,0,1,1,0,,0,1,3,1,0,2,2,0,23,否,4,2,2,2,4,1,3,4,5,2,1,5,5,3,1,A,A,B,无,运动
206,26,男,硕士,2.8,0.8,3.6,0,0,2,2,0,3,7.8,0,0,0,0,0,0,0,0,1,技术标兵,1,0,0,0,0,1,0,1,27,是,5,5,4,3,5,2,1,1,4,2,4,3,3,1,1,A-,A+,B-,无,无
207,33,男,本科,3.8,5.4,2.9,0,1,1,3,0,1,9.7,0,1,1,0,0,0,0,0,0,,3,0,2,2,0,0,0,0,16,否,3,1,3,5,4,2,5,1,2,3,5,4,5,5,3,A-,A,,无,无
208,33,女,本科,1.9,2.3,3.8,0,0,1,3,3,2,9.8,0,0,1,0,0,0,0,0,0,,1,0,1,1,1,0,0,0,26,否,4,1,4,1,3,4,1,2,2,3,1,3,5,2,2,B-,B-,B,无,阅读
209,33,女,本科,2,3.5,3.88,0,0,1,0,3,1,7.9,0,0,0,0,0,1,0,0,0,,1,1,0,1,0,0,1,0,15,是,4,1,5,4,4,5,4,4,3,2,2,5,1,2,4,A,A+,B-,无,运动
210,50,男,本科,2.5,3.6,3.32,1,1,0,2,2,1,7.7,1,0,0,0,0,0,0,1,1,技术标兵,0,1,0,2,0,0,0,0,16,是,1,1,1,4,5,3,1,3,5,1,1,5,2,2,2,B-,A,A+,数据分析,旅行
211,33,女,本科,3.6,1.1,3.81,0,0,1,4,2,0,6.5,0,0,0,0,0,0,0,1,0,,1,0,0,1,0,0,0,0,19,否,3,1,4,5,5,5,5,1,1,3,2,2,4,5,2,A,A-,A+,无,音乐
212,36,女,硕士,5.1,6.9,3.62,1,0,3,2,0,0,8,0,0,0,0,0,0,0,0,0,,3,0,1,3,0,2,0,0,19,是,5,2,5,4,5,3,1,5,5,2,4,1,5,4,4,A,A-,A,写作,摄影
213,35,男,本科,3.8,1.7,3.4,0,2,1,0,0,0,10,0,1,0,0,0,0,0,1,1,优秀员工,1,0,1,2,1,0,0,0,24,否,3,4,2,3,2,1,2,2,3,4,1,5,4,4,1,B-,A+,,演讲,摄影
214,34,女,本科,9,8.5,2.85,2,1,2,1,2,1,7.9,0,0,0,1,0,1,0,0,1,优秀员工,2,0,0,1,0,0,0,0,23,否,3,4,4,2,2,2,1,2,3,3,4,5,5,4,3,A+,B+,B-,写作,无
215,29,男,本科,3,3.5,4.04,0,0,1,1,2,1,8.7,0,1,0,0,0,0,0,0,2,创新奖,1,1,0,3,0,1,0,0,30,否,3,2,5,1,2,2,1,1,3,2,1,3,5,3,5,A+,A+,A,无,音乐
